product_shipment_id,shipment_name,shipment_id,product_description,quantity,product_id,departing_origin_date,arriving_destination_date,vehicle_name,origin_location_name,origin_location_geohash,destination_location_name,destination_location_geohash,product_shipment_name
014ff88d-0114-4764-853b-20d854d1d3b5-1,Shipment 1,014ff88d-0114-4764-853b-20d854d1d3b5,Blue Triangles,2000,product-1,2024-04-08,2024-04-22,Vehicle 1,St. Louis Facility,"38.684780,-90.216816",Chicago Facility,"41.893911,-87.735365",Product Shipment 1-1
070f4679-ed17-47bf-a2c6-b76d56b1e38e-1,Shipment 2,070f4679-ed17-47bf-a2c6-b76d56b1e38e,Blue Triangles,3000,product-1,2024-04-09,2024-04-24,Vehicle 2,St. Louis Facility,"38.684780,-90.216816",Houston Facility,"29.847678,-95.584652",Product Shipment 2-1
09a15352-00b9-4c42-b4ea-c095b893da4a-2,Shipment 3,09a15352-00b9-4c42-b4ea-c095b893da4a,Red Squares,2000,product-2,2024-04-07,2024-04-24,Vehicle 3,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 3-2
09a15352-00b9-4c42-b4ea-c095b893da4a-1,Shipment 3,09a15352-00b9-4c42-b4ea-c095b893da4a,Blue Triangles,1000,product-1,2024-04-07,2024-04-24,Vehicle 3,St. Louis Facility,"38.684780,-90.216816",New York Facility,"40.729498,-73.707367",Product Shipment 3-1
0ce11fde-e7d0-4610-a1ec-13bdb5decea7-2,Shipment 4,0ce11fde-e7d0-4610-a1ec-13bdb5decea7,Red Squares,9000,product-2,2024-04-09,2024-04-23,Vehicle 4,Chicago Facility,"41.893911,-87.735365",New York Facility,"40.729498,-73.707367",Product Shipment 4-2
0ce11fde-e7d0-4610-a1ec-13bdb5decea7-1,Shipment 4,0ce11fde-e7d0-4610-a1ec-13bdb5decea7,Blue Triangles,7000,product-1,2024-04-09,2024-04-23,Vehicle 4,Chicago Facility,"41.893911,-87.735365",New York Facility,"40.729498,-73.707367",Product Shipment 4-1
1052f49d-67f0-4413-a422-4e692490b6ba-1,Shipment 5,1052f49d-67f0-4413-a422-4e692490b6ba,Blue Triangles,6000,product-1,2024-04-10,2024-04-26,Vehicle 5,Houston Facility,"29.847678,-95.584652",Chicago Facility,"41.893911,-87.735365",Product Shipment 5-1
14aba90a-e2e6-407f-946e-607e1e077874-2,Shipment 6,14aba90a-e2e6-407f-946e-607e1e077874,Red Squares,7000,product-2,2024-04-09,2024-04-27,Vehicle 6,Houston Facility,"29.847678,-95.584652",Chicago Facility,"41.893911,-87.735365",Product Shipment 6-2
14aba90a-e2e6-407f-946e-607e1e077874-1,Shipment 6,14aba90a-e2e6-407f-946e-607e1e077874,Blue Triangles,6000,product-1,2024-04-09,2024-04-27,Vehicle 6,Houston Facility,"29.847678,-95.584652",Chicago Facility,"41.893911,-87.735365",Product Shipment 6-1
1aaf01e6-eb7f-4b71-ae71-3db35be62e48-2,Shipment 7,1aaf01e6-eb7f-4b71-ae71-3db35be62e48,Red Squares,3000,product-2,2024-04-09,2024-04-20,Vehicle 7,St. Louis Facility,"38.684780,-90.216816",Houston Facility,"29.847678,-95.584652",Product Shipment 7-2
