unit_capacity,vehicle_id,vehicle_name
20000,vehicle-001,Vehicle 1
15000,vehicle-002,Vehicle 2
10000,vehicle-003,Vehicle 3
15000,vehicle-004,Vehicle 4
30000,vehicle-005,Vehicle 5
20000,vehicle-006,Vehicle 6
35000,vehicle-007,Vehicle 7
20000,vehicle-008,Vehicle 8
35000,vehicle-009,Vehicle 9
30000,vehicle-010,Vehicle 10
20000,vehicle-011,Vehicle 11
15000,vehicle-012,Vehicle 12
25000,vehicle-013,Vehicle 13
15000,vehicle-014,Vehicle 14
20000,vehicle-015,Vehicle 15
25000,vehicle-016,Vehicle 16
15000,vehicle-017,Vehicle 17
20000,vehicle-018,Vehicle 18
15000,vehicle-019,Vehicle 19
20000,vehicle-020,Vehicle 20
25000,vehicle-021,Vehicle 21
30000,vehicle-022,Vehicle 22
30000,vehicle-023,Vehicle 23
20000,vehicle-024,Vehicle 24
15000,vehicle-025,Vehicle 25
25000,vehicle-026,Vehicle 26
10000,vehicle-027,Vehicle 27
20000,vehicle-028,Vehicle 28
20000,vehicle-029,Vehicle 29
15000,vehicle-030,Vehicle 30
20000,vehicle-031,Vehicle 31
30000,vehicle-032,Vehicle 32
10000,vehicle-033,Vehicle 33
25000,vehicle-034,Vehicle 34
30000,vehicle-035,Vehicle 35
10000,vehicle-036,Vehicle 36
15000,vehicle-037,Vehicle 37
15000,vehicle-038,Vehicle 38
25000,vehicle-039,Vehicle 39
10000,vehicle-040,Vehicle 40
20000,vehicle-041,Vehicle 41
10000,vehicle-042,Vehicle 42
15000,vehicle-043,Vehicle 43
25000,vehicle-044,Vehicle 44
15000,vehicle-045,Vehicle 45
20000,vehicle-046,Vehicle 46
25000,vehicle-047,Vehicle 47
15000,vehicle-048,Vehicle 48
20000,vehicle-049,Vehicle 49
20000,vehicle-050,Vehicle 50
35000,vehicle-051,Vehicle 51
20000,vehicle-052,Vehicle 52
25000,vehicle-053,Vehicle 53
20000,vehicle-054,Vehicle 54
15000,vehicle-055,Vehicle 55
35000,vehicle-056,Vehicle 56
15000,vehicle-057,Vehicle 57
10000,vehicle-058,Vehicle 58
15000,vehicle-059,Vehicle 59
30000,vehicle-060,Vehicle 60
15000,vehicle-061,Vehicle 61
10000,vehicle-062,Vehicle 62
15000,vehicle-063,Vehicle 63
15000,vehicle-064,Vehicle 64
25000,vehicle-065,Vehicle 65
25000,vehicle-066,Vehicle 66
20000,vehicle-067,Vehicle 67
10000,vehicle-068,Vehicle 68
15000,vehicle-069,Vehicle 69
50000,vehicle-070,Vehicle 70
10000,vehicle-071,Vehicle 71
20000,vehicle-072,Vehicle 72
45000,vehicle-073,Vehicle 73
15000,vehicle-074,Vehicle 74
20000,vehicle-075,Vehicle 75
10000,vehicle-076,Vehicle 76
30000,vehicle-077,Vehicle 77
25000,vehicle-078,Vehicle 78
15000,vehicle-079,Vehicle 79
30000,vehicle-080,Vehicle 80
45000,vehicle-081,Vehicle 81
35000,vehicle-082,Vehicle 82
30000,vehicle-083,Vehicle 83
