location_id,product_id,snapshot_date,inventory_quantity,daily_demand,inbound_quantity
location-chicago,product-1,2024-03-12,15000,253,0
location-chicago,product-1,2024-03-13,14747,253,0
location-chicago,product-1,2024-03-14,14494,253,0
location-chicago,product-1,2024-03-15,14241,253,0
location-chicago,product-1,2024-03-16,13988,253,0
location-chicago,product-1,2024-03-17,13735,253,0
location-chicago,product-1,2024-03-18,13482,253,0
location-chicago,product-1,2024-03-19,13229,253,0
location-chicago,product-1,2024-03-20,12976,253,0
location-chicago,product-1,2024-03-21,12723,253,0
location-chicago,product-1,2024-03-22,12470,253,0
location-chicago,product-1,2024-03-23,12217,253,0
location-chicago,product-1,2024-03-24,11964,253,0
location-chicago,product-1,2024-03-25,11711,253,0
location-chicago,product-1,2024-03-26,11458,253,0
location-chicago,product-1,2024-03-27,11205,253,0
location-chicago,product-1,2024-03-28,10952,253,0
location-chicago,product-1,2024-03-29,10699,253,0
location-chicago,product-1,2024-03-30,10446,253,0
location-chicago,product-1,2024-03-31,10193,253,0
location-chicago,product-1,2024-04-01,9940,253,0
location-chicago,product-1,2024-04-02,9687,253,0
location-chicago,product-1,2024-04-03,9434,253,0
location-chicago,product-1,2024-04-04,9181,253,0
location-chicago,product-1,2024-04-05,8928,253,0
location-chicago,product-1,2024-04-06,8675,253,0
location-chicago,product-1,2024-04-07,8422,253,0
location-chicago,product-1,2024-04-08,8169,253,0
location-chicago,product-1,2024-04-09,7916,253,0
location-chicago,product-1,2024-04-10,7663,253,0
location-chicago,product-2,2024-03-12,15000,665,0
location-chicago,product-2,2024-03-13,14335,665,0
location-chicago,product-2,2024-03-14,13670,665,0
location-chicago,product-2,2024-03-15,13005,665,0
location-chicago,product-2,2024-03-16,12340,665,0
location-chicago,product-2,2024-03-17,11675,665,0
location-chicago,product-2,2024-03-18,11010,665,0
location-chicago,product-2,2024-03-19,10345,665,0
location-chicago,product-2,2024-03-20,9680,665,0
location-chicago,product-2,2024-03-21,9015,665,0
location-chicago,product-2,2024-03-22,8350,665,0
location-chicago,product-2,2024-03-23,7685,665,0
location-chicago,product-2,2024-03-24,7020,665,0
location-chicago,product-2,2024-03-25,6355,665,0
location-chicago,product-2,2024-03-26,5690,665,0
location-chicago,product-2,2024-03-27,5025,665,0
location-chicago,product-2,2024-03-28,4360,665,0
location-chicago,product-2,2024-03-29,3695,665,0
location-chicago,product-2,2024-03-30,3030,665,0
location-chicago,product-2,2024-03-31,2365,665,0
location-chicago,product-2,2024-04-01,1700,665,0
location-chicago,product-2,2024-04-02,1035,665,0
