product_shipment_id,product_id,quantity,unit_cost,material_cost,freight_cost,duty_rate,duty_cost,handling_cost,landed_cost,distance_km
014ff88d-0114-4764-853b-20d854d1d3b5-1,product-1,2000,12.5,25000.0,9.97,0.03,60.0,190.0,25259.97,414.2
070f4679-ed17-47bf-a2c6-b76d56b1e38e-1,product-1,3000,12.5,37500.0,20.69,0.03,90.0,210.0,37820.69,1099.0
09a15352-00b9-4c42-b4ea-c095b893da4a-2,product-2,2000,8.75,17500.0,22.14,0.05,100.0,190.0,17812.14,1428.3
09a15352-00b9-4c42-b4ea-c095b893da4a-1,product-1,1000,12.5,12500.0,19.64,0.03,30.0,170.0,12719.64,1428.3
0ce11fde-e7d0-4610-a1ec-13bdb5decea7-2,product-2,9000,8.75,78750.0,36.63,0.05,450.0,330.0,79566.63,1177.4
0ce11fde-e7d0-4610-a1ec-13bdb5decea7-1,product-1,7000,12.5,87500.0,31.63,0.03,210.0,290.0,88031.63,1177.4
1052f49d-67f0-4413-a422-4e692490b6ba-1,product-1,6000,12.5,75000.0,33.16,0.03,180.0,270.0,75483.16,1513.1
14aba90a-e2e6-407f-946e-607e1e077874-2,product-2,7000,8.75,61250.0,35.66,0.05,350.0,290.0,61925.66,1513.1
14aba90a-e2e6-407f-946e-607e1e077874-1,product-1,6000,12.5,75000.0,33.16,0.03,180.0,270.0,75483.16,1513.1
1aaf01e6-eb7f-4b71-ae71-3db35be62e48-2,product-2,3000,8.75,26250.0,20.69,0.05,150.0,210.0,26630.69,1099.0
1aaf01e6-eb7f-4b71-ae71-3db35be62e48-1,product-1,5000,12.5,62500.0,25.69,0.03,150.0,250.0,62925.69,1099.0
1f93d6a7-111f-4084-8bfc-99cfc9416b1b-1,product-1,6000,12.5,75000.0,28.19,0.03,180.0,270.0,75478.19,1099.0
219bae24-eb03-40db-b957-6eb650ffb016-1,product-1,1000,12.5,12500.0,19.64,0.03,30.0,170.0,12719.64,1428.3
25394a95-cbb8-463e-969c-a58d1774b4b8-1,product-1,6000,12.5,75000.0,33.16,0.03,180.0,270.0,75483.16,1513.1
298d6e0c-0135-4eff-b1e7-47eb4459f472-1,product-1,9000,12.5,112500.0,36.63,0.03,270.0,330.0,113136.63,1177.4
3332d117-2f03-45f6-a0bf-9dc0caf5f4b3-1,product-1,3000,12.5,37500.0,25.66,0.03,90.0,210.0,37825.66,1513.1
3697d32e-79a5-4a3a-bb1e-c8e6c2041f52-2,product-2,2000,8.75,17500.0,23.16,0.05,100.0,190.0,17813.16,1513.1
3697d32e-79a5-4a3a-bb1e-c8e6c2041f52-1,product-1,4000,12.5,50000.0,28.16,0.03,120.0,230.0,50378.16,1513.1
3a4b7c0f-8ebd-4ece-b9d8-de0448f521b6-2,product-2,2000,8.75,17500.0,32.78,0.05,100.0,190.0,17822.78,2315.4
3a4b7c0f-8ebd-4ece-b9d8-de0448f521b6-1,product-1,8000,12.5,100000.0,47.78,0.03,240.0,310.0,100597.78,2315.4
3d760587-aaad-44fe-8633-6de29590adb3-1,product-1,7000,12.5,87500.0,22.47,0.03,210.0,290.0,88022.47,414.2
3eb6b189-e095-4421-b31a-6dd8e9891ba5-1,product-1,4000,12.5,50000.0,28.16,0.03,120.0,230.0,50378.16,1513.1
43ccb6fb-6fca-46d9-aabb-e798a74e4961-2,product-2,2000,8.75,17500.0,23.16,0.05,100.0,190.0,17813.16,1513.1
43ccb6fb-6fca-46d9-aabb-e798a74e4961-1,product-1,2000,12.5,25000.0,23.16,0.03,60.0,190.0,25273.16,1513.1
45ac015a-92fd-45ee-a0f3-bceb9bb00e11-3,product-3,8000,15.0,120000.0,24.97,0.04,320.0,310.0,120654.97,414.2
45ac015a-92fd-45ee-a0f3-bceb9bb00e11-2,product-2,6000,8.75,52500.0,19.97,0.05,300.0,270.0,53089.97,414.2
45ac015a-92fd-45ee-a0f3-bceb9bb00e11-1,product-1,3000,12.5,37500.0,12.47,0.03,90.0,210.0,37812.47,414.2
45da843c-ab60-4c71-9a1e-024478dd1b0d-1,product-1,2000,12.5,25000.0,18.19,0.03,60.0,190.0,25268.19,1099.0
46516c7a-33e5-4b2a-a37a-70bdc085823d-2,product-2,10000,8.75,87500.0,38.19,0.05,500.0,350.0,88388.19,1099.0
46516c7a-33e5-4b2a-a37a-70bdc085823d-1,product-1,5000,12.5,62500.0,25.69,0.03,150.0,250.0,62925.69,1099.0
486d8184-2486-4349-bdc9-9040904d04d3-1,product-1,6000,12.5,75000.0,19.97,0.03,180.0,270.0,75469.97,414.2
4875fac9-3a3a-40b1-b36c-ec26a35886f8-1,product-1,1000,12.5,12500.0,16.63,0.03,30.0,170.0,12716.63,1177.4
48f8d65e-9e5c-4cdd-b814-9a183b20e157-2,product-2,5000,8.75,43750.0,17.47,0.05,250.0,250.0,44267.47,414.2
48f8d65e-9e5c-4cdd-b814-9a183b20e157-1,product-1,3000,12.5,37500.0,12.47,0.03,90.0,210.0,37812.47,414.2
4948f486-2041-43cf-9da6-d651bed11776-3,product-3,10000,15.0,150000.0,38.19,0.04,400.0,350.0,150788.19,1099.0
4948f486-2041-43cf-9da6-d651bed11776-2,product-2,4000,8.75,35000.0,23.19,0.05,200.0,230.0,35453.19,1099.0
4948f486-2041-43cf-9da6-d651bed11776-1,product-1,9000,12.5,112500.0,35.69,0.03,270.0,330.0,113135.69,1099.0
4e1f7112-6e1b-4b30-a3f8-4b4dd0ff14b4-3,product-3,6000,15.0,90000.0,32.14,0.04,240.0,270.0,90542.14,1428.3
4e1f7112-6e1b-4b30-a3f8-4b4dd0ff14b4-2,product-2,9000,8.75,78750.0,39.64,0.05,450.0,330.0,79569.64,1428.3
4e1f7112-6e1b-4b30-a3f8-4b4dd0ff14b4-1,product-1,9000,12.5,112500.0,39.64,0.03,270.0,330.0,113139.64,1428.3
520ab753-6f6c-435e-824e-99a88035fe8f-2,product-2,9000,8.75,78750.0,40.66,0.05,450.0,330.0,79570.66,1513.1
520ab753-6f6c-435e-824e-99a88035fe8f-1,product-1,3000,12.5,37500.0,25.66,0.03,90.0,210.0,37825.66,1513.1
538c35bd-6a94-451e-8985-6ff1cee9452c-1,product-1,8000,12.5,100000.0,47.78,0.03,240.0,310.0,100597.78,2315.4
5c4010c8-1467-4e50-9390-fe66facf82dc-3,product-3,7000,15.0,105000.0,34.64,0.04,280.0,290.0,105604.64,1428.3
5c4010c8-1467-4e50-9390-fe66facf82dc-2,product-2,4000,8.75,35000.0,27.14,0.05,200.0,230.0,35457.14,1428.3
5c4010c8-1467-4e50-9390-fe66facf82dc-1,product-1,6000,12.5,75000.0,32.14,0.03,180.0,270.0,75482.14,1428.3
5d170f5a-0300-45d4-93a3-c8ac7a8a87a6-1,product-1,7000,12.5,87500.0,31.63,0.03,210.0,290.0,88031.63,1177.4
5d3b7d94-46c7-4bd0-968c-88c66c607b3b-3,product-3,8000,15.0,120000.0,47.78,0.04,320.0,310.0,120677.78,2315.4
5d3b7d94-46c7-4bd0-968c-88c66c607b3b-2,product-2,2000,8.75,17500.0,32.78,0.05,100.0,190.0,17822.78,2315.4
5d3b7d94-46c7-4bd0-968c-88c66c607b3b-1,product-1,8000,12.5,100000.0,47.78,0.03,240.0,310.0,100597.78,2315.4
5d4e0571-e718-4da8-9d99-e9face7dd172-2,product-2,4000,8.75,35000.0,27.14,0.05,200.0,230.0,35457.14,1428.3
5d4e0571-e718-4da8-9d99-e9face7dd172-1,product-1,4000,12.5,50000.0,27.14,0.03,120.0,230.0,50377.14,1428.3
5e637986-6039-41c7-89dc-d63f31954a75-3,product-3,3000,15.0,45000.0,12.47,0.04,120.0,210.0,45342.47,414.2
5e637986-6039-41c7-89dc-d63f31954a75-2,product-2,6000,8.75,52500.0,19.97,0.05,300.0,270.0,53089.97,414.2
5e637986-6039-41c7-89dc-d63f31954a75-1,product-1,6000,12.5,75000.0,19.97,0.03,180.0,270.0,75469.97,414.2
5f41c821-bbb3-4bab-9812-28b7345b3143-3,product-3,1000,15.0,15000.0,19.64,0.04,40.0,170.0,15229.64,1428.3
5f41c821-bbb3-4bab-9812-28b7345b3143-2,product-2,9000,8.75,78750.0,39.64,0.05,450.0,330.0,79569.64,1428.3
5f41c821-bbb3-4bab-9812-28b7345b3143-1,product-1,6000,12.5,75000.0,32.14,0.03,180.0,270.0,75482.14,1428.3
628d88ac-40e2-47d1-8515-94066ba8ebc8-1,product-1,5000,12.5,62500.0,26.63,0.03,150.0,250.0,62926.63,1177.4
69d6e139-ecac-4c7a-9e64-815696c7b351-3,product-3,5000,15.0,75000.0,40.28,0.04,200.0,250.0,75490.28,2315.4
69d6e139-ecac-4c7a-9e64-815696c7b351-2,product-2,9000,8.75,78750.0,50.28,0.05,450.0,330.0,79580.28,2315.4
69d6e139-ecac-4c7a-9e64-815696c7b351-1,product-1,5000,12.5,62500.0,40.28,0.03,150.0,250.0,62940.28,2315.4
6a663c1f-302a-420e-8ad0-f49ce2c97a40-2,product-2,3000,8.75,26250.0,25.66,0.05,150.0,210.0,26635.66,1513.1
6a663c1f-302a-420e-8ad0-f49ce2c97a40-1,product-1,10000,12.5,125000.0,43.16,0.03,300.0,350.0,125693.16,1513.1
70d877b8-19ed-4318-8e4c-2d57e6db4761-3,product-3,7000,15.0,105000.0,35.66,0.04,280.0,290.0,105605.66,1513.1
70d877b8-19ed-4318-8e4c-2d57e6db4761-2,product-2,10000,8.75,87500.0,43.16,0.05,500.0,350.0,88393.16,1513.1
70d877b8-19ed-4318-8e4c-2d57e6db4761-1,product-1,5000,12.5,62500.0,30.66,0.03,150.0,250.0,62930.66,1513.1
759eadfc-8414-48e0-87c6-b8ba305a9a89-1,product-1,10000,12.5,125000.0,42.14,0.03,300.0,350.0,125692.14,1428.3
80fe0ecb-55af-46c2-b923-516a8a20399d-3,product-3,9000,15.0,135000.0,50.28,0.04,360.0,330.0,135740.28,2315.4
80fe0ecb-55af-46c2-b923-516a8a20399d-2,product-2,4000,8.75,35000.0,37.78,0.05,200.0,230.0,35467.78,2315.4
80fe0ecb-55af-46c2-b923-516a8a20399d-1,product-1,2000,12.5,25000.0,32.78,0.03,60.0,190.0,25282.78,2315.4
81a4472a-ba53-448b-b52c-c120de69f9fd-3,product-3,5000,15.0,75000.0,29.64,0.04,200.0,250.0,75479.64,1428.3
81a4472a-ba53-448b-b52c-c120de69f9fd-2,product-2,5000,8.75,43750.0,29.64,0.05,250.0,250.0,44279.64,1428.3
81a4472a-ba53-448b-b52c-c120de69f9fd-1,product-1,9000,12.5,112500.0,39.64,0.03,270.0,330.0,113139.64,1428.3
824041c7-6d97-43cd-b7c7-e85d6bc799f3-3,product-3,2000,15.0,30000.0,22.14,0.04,80.0,190.0,30292.14,1428.3
824041c7-6d97-43cd-b7c7-e85d6bc799f3-2,product-2,6000,8.75,52500.0,32.14,0.05,300.0,270.0,53102.14,1428.3
824041c7-6d97-43cd-b7c7-e85d6bc799f3-1,product-1,9000,12.5,112500.0,39.64,0.03,270.0,330.0,113139.64,1428.3
847a1c38-a41c-47e0-b8c0-78c9a761a0e3-3,product-3,9000,15.0,135000.0,35.69,0.04,360.0,330.0,135725.69,1099.0
847a1c38-a41c-47e0-b8c0-78c9a761a0e3-2,product-2,9000,8.75,78750.0,35.69,0.05,450.0,330.0,79565.69,1099.0
847a1c38-a41c-47e0-b8c0-78c9a761a0e3-1,product-1,8000,12.5,100000.0,33.19,0.03,240.0,310.0,100583.19,1099.0
84c23502-0c17-459b-ab7d-7cac805a5a0b-1,product-1,9000,12.5,112500.0,27.47,0.03,270.0,330.0,113127.47,414.2
87057664-f831-4bc3-9734-67b0d56cc376-2,product-2,4000,8.75,35000.0,28.16,0.05,200.0,230.0,35458.16,1513.1
87057664-f831-4bc3-9734-67b0d56cc376-1,product-1,5000,12.5,62500.0,30.66,0.03,150.0,250.0,62930.66,1513.1
8858111f-1e40-487a-94d3-ee1ee0c84496-1,product-1,4000,12.5,50000.0,27.14,0.03,120.0,230.0,50377.14,1428.3
8aacd58a-799c-4ab6-b895-9828498fcbd2-1,product-1,2000,12.5,25000.0,9.97,0.03,60.0,190.0,25259.97,414.2
8c0fd2ca-d2d7-4cd2-8a92-fdcb7b0f25ba-1,product-1,1000,12.5,12500.0,16.63,0.03,30.0,170.0,12716.63,1177.4
8d1a6472-b440-4794-a372-025c0c268225-3,product-3,1000,15.0,15000.0,16.63,0.04,40.0,170.0,15226.63,1177.4
8d1a6472-b440-4794-a372-025c0c268225-2,product-2,9000,8.75,78750.0,36.63,0.05,450.0,330.0,79566.63,1177.4
8d1a6472-b440-4794-a372-025c0c268225-1,product-1,1000,12.5,12500.0,16.63,0.03,30.0,170.0,12716.63,1177.4
8e00ee3b-908a-440e-9bfa-f6da6122ef92-3,product-3,10000,15.0,150000.0,42.14,0.04,400.0,350.0,150792.14,1428.3
