location_id,product_id,snapshot_date,inventory_quantity,daily_demand,inbound_quantity
location-chicago,product-1,2024-03-12,15000,264,0
location-chicago,product-1,2024-03-13,14736,264,0
location-chicago,product-1,2024-03-14,14472,264,0
location-chicago,product-1,2024-03-15,14208,264,0
location-chicago,product-1,2024-03-16,13944,264,0
location-chicago,product-1,2024-03-17,13680,264,0
location-chicago,product-1,2024-03-18,13416,264,0
location-chicago,product-1,2024-03-19,13152,264,0
location-chicago,product-1,2024-03-20,12888,264,0
location-chicago,product-1,2024-03-21,12624,264,0
location-chicago,product-1,2024-03-22,12360,264,0
location-chicago,product-1,2024-03-23,12096,264,0
location-chicago,product-1,2024-03-24,11832,264,0
location-chicago,product-1,2024-03-25,11568,264,0
location-chicago,product-1,2024-03-26,11304,264,0
location-chicago,product-1,2024-03-27,11040,264,0
location-chicago,product-1,2024-03-28,10776,264,0
location-chicago,product-1,2024-03-29,10512,264,0
location-chicago,product-1,2024-03-30,10248,264,0
location-chicago,product-1,2024-03-31,9984,264,0
location-chicago,product-1,2024-04-01,9720,264,0
location-chicago,product-1,2024-04-02,9456,264,0
location-chicago,product-1,2024-04-03,9192,264,0
location-chicago,product-1,2024-04-04,8928,264,0
location-chicago,product-1,2024-04-05,8664,264,0
location-chicago,product-1,2024-04-06,8400,264,0
location-chicago,product-1,2024-04-07,8136,264,0
location-chicago,product-1,2024-04-08,7872,264,0
location-chicago,product-1,2024-04-09,7608,264,0
location-chicago,product-1,2024-04-10,7344,264,0
location-chicago,product-2,2024-03-12,15000,701,0
location-chicago,product-2,2024-03-13,14299,701,0
location-chicago,product-2,2024-03-14,13598,701,0
location-chicago,product-2,2024-03-15,12897,701,0
location-chicago,product-2,2024-03-16,12196,701,0
location-chicago,product-2,2024-03-17,11495,701,0
location-chicago,product-2,2024-03-18,10794,701,0
location-chicago,product-2,2024-03-19,10093,701,0
location-chicago,product-2,2024-03-20,9392,701,0
location-chicago,product-2,2024-03-21,8691,701,0
location-chicago,product-2,2024-03-22,7990,701,0
location-chicago,product-2,2024-03-23,7289,701,0
location-chicago,product-2,2024-03-24,6588,701,0
location-chicago,product-2,2024-03-25,5887,701,0
location-chicago,product-2,2024-03-26,5186,701,0
location-chicago,product-2,2024-03-27,4485,701,0
location-chicago,product-2,2024-03-28,3784,701,0
location-chicago,product-2,2024-03-29,3083,701,0
location-chicago,product-2,2024-03-30,2382,701,0
location-chicago,product-2,2024-03-31,1681,701,0
location-chicago,product-2,2024-04-01,980,701,0
location-chicago,product-2,2024-04-02,279,701,0
location-chicago,product-2,2024-04-03,0,701,0
location-chicago,product-2,2024-04-04,0,701,0
location-chicago,product-2,2024-04-05,0,701,0
location-chicago,product-2,2024-04-06,0,701,0
location-chicago,product-2,2024-04-07,0,701,0
location-chicago,product-2,2024-04-08,0,701,0
location-chicago,product-2,2024-04-09,0,701,0
location-chicago,product-2,2024-04-10,0,701,0
location-chicago,product-3,2024-03-12,15000,487,0
location-chicago,product-3,2024-03-13,14513,487,0
location-chicago,product-3,2024-03-14,14026,487,0
location-chicago,product-3,2024-03-15,13539,487,0
location-chicago,product-3,2024-03-16,13052,487,0
location-chicago,product-3,2024-03-17,12565,487,0
location-chicago,product-3,2024-03-18,12078,487,0
location-chicago,product-3,2024-03-19,11591,487,0
location-chicago,product-3,2024-03-20,11104,487,0
location-chicago,product-3,2024-03-21,10617,487,0
location-chicago,product-3,2024-03-22,10130,487,0
location-chicago,product-3,2024-03-23,9643,487,0
location-chicago,product-3,2024-03-24,9156,487,0
location-chicago,product-3,2024-03-25,8669,487,0
location-chicago,product-3,2024-03-26,8182,487,0
location-chicago,product-3,2024-03-27,7695,487,0
location-chicago,product-3,2024-03-28,7208,487,0
location-chicago,product-3,2024-03-29,6721,487,0
location-chicago,product-3,2024-03-30,6234,487,0
location-chicago,product-3,2024-03-31,5747,487,0
location-chicago,product-3,2024-04-01,5260,487,0
location-chicago,product-3,2024-04-02,4773,487,0
location-chicago,product-3,2024-04-03,4286,487,0
location-chicago,product-3,2024-04-04,3799,487,0
location-chicago,product-3,2024-04-05,3312,487,0
location-chicago,product-3,2024-04-06,2825,487,0
location-chicago,product-3,2024-04-07,2338,487,0
location-chicago,product-3,2024-04-08,1851,487,0
location-chicago,product-3,2024-04-09,1364,487,0
location-chicago,product-3,2024-04-10,877,487,0
location-houston,product-1,2024-03-12,15000,467,0
location-houston,product-1,2024-03-13,14533,467,0
location-houston,product-1,2024-03-14,14066,467,0
location-houston,product-1,2024-03-15,13599,467,0
location-houston,product-1,2024-03-16,13132,467,0
location-houston,product-1,2024-03-17,12665,467,0
location-houston,product-1,2024-03-18,12198,467,0
location-houston,product-1,2024-03-19,11731,467,0
location-houston,product-1,2024-03-20,11264,467,0
location-houston,product-1,2024-03-21,10797,467,0
location-houston,product-1,2024-03-22,10330,467,0
location-houston,product-1,2024-03-23,9863,467,0
location-houston,product-1,2024-03-24,9396,467,0
location-houston,product-1,2024-03-25,8929,467,0
location-houston,product-1,2024-03-26,8462,467,0
location-houston,product-1,2024-03-27,7995,467,0
location-houston,product-1,2024-03-28,7528,467,0
location-houston,product-1,2024-03-29,7061,467,0
location-houston,product-1,2024-03-30,6594,467,0
location-houston,product-1,2024-03-31,6127,467,0
location-houston,product-1,2024-04-01,5660,467,0
location-houston,product-1,2024-04-02,5193,467,0
location-houston,product-1,2024-04-03,4726,467,0
location-houston,product-1,2024-04-04,4259,467,0
location-houston,product-1,2024-04-05,3792,467,0
location-houston,product-1,2024-04-06,3325,467,0
location-houston,product-1,2024-04-07,2858,467,0
location-houston,product-1,2024-04-08,2391,467,0
location-houston,product-1,2024-04-09,1924,467,0
location-houston,product-1,2024-04-10,1457,467,0
location-houston,product-2,2024-03-12,15000,206,0
location-houston,product-2,2024-03-13,14794,206,0
location-houston,product-2,2024-03-14,14588,206,0
location-houston,product-2,2024-03-15,14382,206,0
location-houston,product-2,2024-03-16,14176,206,0
location-houston,product-2,2024-03-17,13970,206,0
location-houston,product-2,2024-03-18,13764,206,0
location-houston,product-2,2024-03-19,13558,206,0
location-houston,product-2,2024-03-20,13352,206,0
location-houston,product-2,2024-03-21,13146,206,0
location-houston,product-2,2024-03-22,12940,206,0
location-houston,product-2,2024-03-23,12734,206,0
location-houston,product-2,2024-03-24,12528,206,0
location-houston,product-2,2024-03-25,12322,206,0
location-houston,product-2,2024-03-26,12116,206,0
location-houston,product-2,2024-03-27,11910,206,0
location-houston,product-2,2024-03-28,11704,206,0
location-houston,product-2,2024-03-29,11498,206,0
location-houston,product-2,2024-03-30,11292,206,0
location-houston,product-2,2024-03-31,11086,206,0
location-houston,product-2,2024-04-01,10880,206,0
location-houston,product-2,2024-04-02,10674,206,0
location-houston,product-2,2024-04-03,10468,206,0
location-houston,product-2,2024-04-04,10262,206,0
location-houston,product-2,2024-04-05,10056,206,0
location-houston,product-2,2024-04-06,9850,206,0
location-houston,product-2,2024-04-07,9644,206,0
location-houston,product-2,2024-04-08,9438,206,0
location-houston,product-2,2024-04-09,9232,206,0
location-houston,product-2,2024-04-10,9026,206,0
location-houston,product-3,2024-03-12,15000,268,0
location-houston,product-3,2024-03-13,14732,268,0
location-houston,product-3,2024-03-14,14464,268,0
location-houston,product-3,2024-03-15,14196,268,0
location-houston,product-3,2024-03-16,13928,268,0
location-houston,product-3,2024-03-17,13660,268,0
location-houston,product-3,2024-03-18,13392,268,0
location-houston,product-3,2024-03-19,13124,268,0
location-houston,product-3,2024-03-20,12856,268,0
location-houston,product-3,2024-03-21,12588,268,0
location-houston,product-3,2024-03-22,12320,268,0
location-houston,product-3,2024-03-23,12052,268,0
location-houston,product-3,2024-03-24,11784,268,0
location-houston,product-3,2024-03-25,11516,268,0
location-houston,product-3,2024-03-26,11248,268,0
location-houston,product-3,2024-03-27,10980,268,0
location-houston,product-3,2024-03-28,10712,268,0
location-houston,product-3,2024-03-29,10444,268,0
location-houston,product-3,2024-03-30,10176,268,0
location-houston,product-3,2024-03-31,9908,268,0
location-houston,product-3,2024-04-01,9640,268,0
location-houston,product-3,2024-04-02,9372,268,0
location-houston,product-3,2024-04-03,9104,268,0
location-houston,product-3,2024-04-04,8836,268,0
location-houston,product-3,2024-04-05,8568,268,0
location-houston,product-3,2024-04-06,8300,268,0
location-houston,product-3,2024-04-07,8032,268,0
location-houston,product-3,2024-04-08,7764,268,0
location-houston,product-3,2024-04-09,7496,268,0
location-houston,product-3,2024-04-10,7228,268,0
location-new_york,product-1,2024-03-12,15000,775,0
location-new_york,product-1,2024-03-13,14225,775,0
location-new_york,product-1,2024-03-14,13450,775,0
