order_id,shipment_id,customer_id,destination_location_id,order_date,requested_delivery_date,actual_delivery_date,ordered_quantity,shipped_quantity,priority,status
ORD-0001,014ff88d-0114-4764-853b-20d854d1d3b5,customer-3,location-chicago,2024-04-04,2024-04-24,2024-04-22,10000,10000,Medium,Completed
ORD-0002,070f4679-ed17-47bf-a2c6-b76d56b1e38e,customer-5,location-houston,2024-04-05,2024-04-26,2024-04-24,7000,5000,Low,Completed
ORD-0003,09a15352-00b9-4c42-b4ea-c095b893da4a,customer-2,location-new_york,2024-04-05,2024-04-25,2024-04-24,2000,1000,Low,Completed
ORD-0004,0ce11fde-e7d0-4610-a1ec-13bdb5decea7,customer-1,location-new_york,2024-04-04,2024-04-23,2024-04-23,8000,6000,Low,Completed
ORD-0005,1052f49d-67f0-4413-a422-4e692490b6ba,customer-4,location-chicago,2024-04-06,2024-04-26,2024-04-26,13000,13000,High,Completed
ORD-0006,14aba90a-e2e6-407f-946e-607e1e077874,customer-3,location-chicago,2024-04-04,2024-04-27,2024-04-27,12000,10000,Medium,Completed
ORD-0007,1aaf01e6-eb7f-4b71-ae71-3db35be62e48,customer-6,location-houston,2024-04-04,2024-04-20,2024-04-20,26000,25000,High,Completed
ORD-0008,1f93d6a7-111f-4084-8bfc-99cfc9416b1b,customer-5,location-houston,2024-04-04,2024-04-26,2024-04-24,9000,9000,Medium,Completed
ORD-0009,219bae24-eb03-40db-b957-6eb650ffb016,customer-1,location-new_york,2024-04-05,2024-04-25,2024-04-22,28000,27000,High,Completed
ORD-0010,25394a95-cbb8-463e-969c-a58d1774b4b8,customer-4,location-chicago,2024-04-06,2024-04-24,2024-04-24,18000,16000,High,Completed
ORD-0011,298d6e0c-0135-4eff-b1e7-47eb4459f472,customer-3,location-chicago,2024-04-09,2024-04-27,2024-04-24,14000,12000,High,Completed
ORD-0012,3332d117-2f03-45f6-a0bf-9dc0caf5f4b3,customer-4,location-chicago,2024-04-06,2024-04-22,2024-04-24,10000,8000,Medium,Completed
ORD-0013,3697d32e-79a5-4a3a-bb1e-c8e6c2041f52,customer-3,location-chicago,2024-04-06,2024-04-26,2024-04-24,12000,11000,Medium,Completed
ORD-0014,3a4b7c0f-8ebd-4ece-b9d8-de0448f521b6,customer-1,location-new_york,2024-04-08,2024-04-21,2024-04-20,6000,5000,Low,Completed
ORD-0015,3d760587-aaad-44fe-8633-6de29590adb3,customer-4,location-chicago,2024-04-04,2024-04-24,2024-04-24,10000,8000,Medium,Completed
ORD-0016,3eb6b189-e095-4421-b31a-6dd8e9891ba5,customer-3,location-chicago,2024-04-07,2024-04-18,2024-04-20,12000,11000,Medium,Completed
ORD-0017,43ccb6fb-6fca-46d9-aabb-e798a74e4961,customer-3,location-chicago,2024-04-07,2024-04-24,2024-04-24,5000,5000,Low,Completed
ORD-0018,45ac015a-92fd-45ee-a0f3-bceb9bb00e11,customer-8,location-st_louis,2024-04-07,2024-04-28,2024-04-26,9000,9000,Medium,Completed
ORD-0019,45da843c-ab60-4c71-9a1e-024478dd1b0d,customer-8,location-st_louis,2024-04-04,2024-04-21,2024-04-20,10000,8000,Medium,Completed
ORD-0020,46516c7a-33e5-4b2a-a37a-70bdc085823d,customer-6,location-houston,2024-04-06,2024-04-25,2024-04-25,9000,9000,Medium,Completed
ORD-0021,486d8184-2486-4349-bdc9-9040904d04d3,customer-3,location-chicago,2024-04-06,2024-04-23,2024-04-24,18000,16000,High,Completed
ORD-0022,4875fac9-3a3a-40b1-b36c-ec26a35886f8,customer-1,location-new_york,2024-04-07,2024-05-02,2024-04-29,21000,21000,High,Completed
